,id,content
0,moviedata2/sm17961470.jsonl,きくお 幸福 鬱くしい 好き 地獄 天国 綺麗 歌詞 ミク ダブステ 中毒 サビ 世界観 ダブステップ 心中 調教 gj 成功 幸せ 一時停止
1,moviedata2/sm12419220.jsonl,シンジ もこう ポケモン 厳選 先生 廃人 ゾロア ポカブ つり マジレス 孵化 うそなき 論破 釣り ゲーム 野生 もこ 安定 ネタ リモ
2,moviedata2/sm5430176.jsonl,アリス レン 不思議 番目 おk リン ミク カイト 真っ赤 一時停止 メイコ 薔薇 kaito ルカ 成功 双子 罪人 gj 女王 meiko
3,moviedata2/so15281450.jsonl,アイマス ナンバーワン うたプリ 美希 ここ 周年 公式 op akb ラブライブ 職人 みき 春香 なんば すき アイドル ready アニメ 雪歩 no
4,moviedata2/sm2069100.jsonl,勉強 テスト 明日 集中 休憩 数学 レポート 時間 今日 みんな 英語 あと 課題 徹夜 風呂 がんばろう ページ 仮眠 ノシ 作業
5,moviedata2/so23867610.jsonl,くっすん えみつん うっちー りっぴー ジョルノ みもりん bibi ラブライブ 宮田 ライバー 衣装 th しかこ ちゃん pile ライブ ことり ダンス 野菜 スノハレ
6,moviedata2/sm19817730.jsonl,波紋 ジョジョ ディオ ジョナサン スピードワゴン ナイフ 石仮面 紳士 疾走 スト様 ナサン 着地 説得 爆発 解説 イギリス 罪悪感 ワサビ ダイアー 天国
7,moviedata2/sm16601690.jsonl,幸運 セイバー ギル マスター ランサー 士郎 魔力 エミヤ チート サーヴァント ライダー ステ バーサーカー うんこ ハサン ランク 英霊 最強 キャスター ステータス
8,moviedata2/sm17241370.jsonl,日笠 クニ かお きた 上着 ポテト タダ いかん ゃひ ぇっ 杉田 半額 はふ 文學 ヒデ 文学少女 カァァ むふ 人違い げんちょ
9,moviedata2/so27026038.jsonl,えみつん うっちー 衣装 くっすん りっぴー コール みもりん ジョルノ ちゃん ライブ th キラセン 日目 きた 宮田 ぱい スノハレ 昭和 pile bibi
10,moviedata2/sm5600850.jsonl,nayuta ダスキン フラン 原曲 あたい 歌詞 エコノミー オーエン 宣伝 アレンジ ひいろ ケチャップ 葉月 pv 緋色 東方 血肉 げっか 月下 中毒
11,moviedata2/sm24957940.jsonl,ヒガナ 想像力 ポケモン レックウザ 赤字 ファルコム bgm テーマ メガシンカ シガナ キャラ ここ 好き ポケダン カガリ もこう 厳選 そう kh ゴリラ
12,moviedata2/sm13722470.jsonl,お父さん 杏子 まどか 右クリック ほむほむ うさぎ コピー ラーメン マミさん 名塚 マミ あんこ 男子トイレ おk ホンミョンボ マミった 魔法少女 妖精 親父 なのはさん
13,moviedata2/sm10306280.jsonl,ロクデナシ 黄色 勉強 ろくでなし 音質 イヤホン 告白 ピンク 明日 宿題 覚醒 ヘッドホン コメ リア充 合格 gj 大阪大阪 オレンジ ブニ badapple
14,moviedata2/sm27137010.jsonl,クリボー コース レト レトルト クッパ ブロック マリオ 意地悪 ステージ キック クリア 察し 海の幸 隠し キノコ 孔明 にょう ニャロメロン 怨念 ボー
15,moviedata2/sm24106810.jsonl,ur 姫ちゃん ドブ ちん かよ ちゃん まきちゃん 編集 りん sr マキ ことり のんたん わし 矢澤 リリホワ きた まっき 扱い 出来レース
16,moviedata2/sm22887980.jsonl,魔理沙 霊夢 咲夜 妖夢 早苗 サックス れいむ トランペット 咲夜さん 楽器 gj ドラム みょん ベース 演奏 早苗さん 扇風機 mmd ブラボー フルート
17,moviedata2/sm841041.jsonl,ヒトカゲ 鈍痛 イワーク かっけ ピコーン ピコン げる ライバル レベル ひっかく 光線 lv 人影 ポケモン ギター タケシ タブ譜 うめ 初代 バタフリー
18,moviedata2/sm18682960.jsonl,みかちゃん まふまふ sim 天月 あまつき ハッヤッホッタァー ハイッ ソーラン コニー ゆう十 im ims チャイナ ms imim 凹回 ワンリーホン smi こにたん isms
19,moviedata2/sm5664150.jsonl,スザク ルル ギアス ルルーシュ うまい棒 クラピカ すざく ババサレ ウザク おまw ブリキ お前 じゃがいも 疑義 おまえ ランスロット 変態 ジャガイモ haha サレ
20,moviedata2/so21334230.jsonl,てーきゅう なすの ヤマノススメ なす cm 先輩 宣伝 高宮なすの 悶絶 テニス 半分 察し ファッ エロ 本編 アース アニメ アカン 爆死 うどん子
21,moviedata2/sm1842140.jsonl,ドラム ほう マリオ シンバル 藤村 プロ 藤やん dk バスドラ ドラマー 藤村d タム アシックス ツインペダル ツーバス バス 下手 セット アンパンマン かっけ
22,moviedata2/sm31978460.jsonl,ピカチュウ ピカ レオモン イーブイ ケンタロス シゲル サトシ ポケモン 小栗旬 ピジョン アニメ テンポ オダマキ まっさら トキワの森 オーキド タケシ コイキング 御三家 テレファング
23,moviedata2/sm20900240.jsonl,きた 映画 好き デジモン なっつ なつい 世代 初代 ドラえもん アニメ ジラーチ ed 大人 犬夜叉 一番 コナン ころ op ミニ四駆 ティガ
24,moviedata2/sm22078450.jsonl,レト レトルト キヨ 論外 マッハ タグ ケンタロス pp フラグ ピカチュウ バッタン クイズ ドッスン カポエラー キャラメル ぴぃぴぃ グラバト レトルトボコボコシリーズ バッタ わからん
25,moviedata2/sm13850060.jsonl,タグ チェロ 右クリック ホルン ハープ qb バス コピー あたし シンバル 契約 魔法少女 ラスボス まどか 指揮者 フィナーレ オーケストラ gj 最終回 弾幕
26,moviedata2/sm2120510.jsonl,本気出す 本気 輝夜 えーりん orz neet ニート ぐー 蓬莱 愚民 幻想郷 姬樣 輝代 幻想 てるよ 歌詞 市場 東方 明日 二次元
27,moviedata2/sm7831420.jsonl,お父さん 親父 耳コピ 華麗 かっけ パパ 父さん おやじ わんこ 自慢 オヤジハンパナイツ オヤジ クリーン ピッキング タグ 倍速 ギター ベンチャーズ キングパパ gj
28,moviedata2/sm334140.jsonl,職人 歌詞 あなた 獅子 whatshouldwedofortheworld 子安 見果てぬ夢 愛と誠 dd 嵐ヶ丘 アリプロ きた いつか illgivewishtoallthepeople 目覚め モコガレツツ よう グランギニョル まほろば 好き
29,moviedata2/sm16620130.jsonl,ブロリー しまじろう 破壊 デデーン ドラゴンボール 古館 ヤギ 血祭り トリッピー クズ ぇい バータ やぎ ドm グルド 笑顔 ジド パラガス 一星 みりん
30,moviedata2/sm6194690.jsonl,ホワァ you つなぎ the th 空耳 ing to me けーね now in ea on is he ni nt it 歌詞
31,moviedata2/sm23313490.jsonl,姫ちゃん まきちゃん まき まきまき pile hshs 天使 きた 西木野真姫 好き sr 最高 太もも ur かきくけこ むね 覚醒 診察 ノーブラ ヤバい
32,moviedata2/sm5206740.jsonl,インデックス 先生 上条さん rec ステイル 合法ロリ 小萌先生 不幸 上条 ベランダ 長門 安全ピン ヒロイン フラグ 名言 インなんとかさん イン 子萌 事後 ロリ
33,moviedata2/sm7564290.jsonl,きた nhk アニメ なつい デジモン 好き ed 作業 進化 無限大 神曲 なっつ 漫画 きたあ ktkr キター op なつ 大好き ジョグレス
34,moviedata2/sm36676440.jsonl,りんご 山形 草草 さくらんぼ ノルマ リンゴ フル ノルマ達成 ろう 芋煮 スレマ ここ バンドリ 素材 歌詞 辻野あかり 公式 職人 語彙力 青森
35,moviedata2/sm27998129.jsonl,カラ松 トッティ 一松 カラ子 十四松 チョロ松 カラ ここ クロス あーむ 看病 兄さん トド子 おそ松 トド松 中村 エコー おまいう 十四子 座り方
36,moviedata2/sm18393920.jsonl,インド よう 合格 oc 繁栄 衰退 ストレート ミリオン テスト 明日 受験 祈願 ドド インド人 元気 カレー 完全に一致 ワワ 高校 願い
37,moviedata2/sm2074910.jsonl,パチェ ピンク 好きだ 魔理沙 パラッパ 中国 パチュリー 公開処刑 フラン パチュ ja ぱちゅ アコーディオン jaoo うめ rec うめぇ 日陰 wwjaoo full
38,moviedata2/sm2024200.jsonl,白石 たまちゃん ジャイアン のらみみ 谷口 広橋 チョイス 灰羽 赤坂 山ちゃん 大運動会 般若 小野d ほっちゃん ゴトゥーザ様 ゆかりん きた 梨花 みなみけ ゴットゥーザ様
39,moviedata2/sm19856000.jsonl,mssp fb きっく ギター 歌詞 ミリオン マイクラ ミク ジェットコースター 作詞 トロッコ mod コースター 感動 テクスチャ 最高 綺麗 ここ 調教 gj
